Sample_ID;Species;Location;Latitude;Longitude;
CC294_sorted;Dioclea_apurensis;Bocaina;-6.332951;-49.967866;
CC310_sorted;Dioclea_apurensis;Bocaina;-6.334021;-49.965423;
CC326_sorted;Dioclea_apurensis;Bocaina;-6.311559;-49.875480;
CC342_sorted;Dioclea_apurensis;Bocaina;-6.305571;-49.893433;
CC358_sorted;Dioclea_apurensis;Bocaina;-6.318118;-49.922354;
CC245_sorted;Dioclea_apurensis;S11C;-6.409630;-50.357591;
CC261_sorted;Dioclea_apurensis;S11C;-6.402412;-50.348454;
CC276_sorted;Dioclea_apurensis;N1;-6.005244;-50.296342;
CC284_sorted;Dioclea_apurensis;N1;-6.015955;-50.308232;
CC296_sorted;Dioclea_apurensis;Bocaina;-6.332720;-49.969004;
CC312_sorted;Dioclea_apurensis;Bocaina;-6.333823;-49.964818;
CC328_sorted;Dioclea_apurensis;Bocaina;-6.312435;-49.875846;
CC344_sorted;Dioclea_apurensis;Bocaina;-6.313027;-49.900497;
CC360_sorted;Dioclea_apurensis;Bocaina;-6.329131;-49.934581;
CC247_sorted;Dioclea_apurensis;S11C;-6.402726;-50.359981;
CC263_sorted;Dioclea_apurensis;S11C;-6.401208;-50.348120;
CC277_sorted;Dioclea_apurensis;N1;-6.010016;-50.294721;
CC285_sorted;Dioclea_apurensis;N1;-6.014793;-50.309603;
CC298_sorted;Dioclea_apurensis;Bocaina;-6.332536;-49.970066;
CC314_sorted;Dioclea_apurensis;Bocaina;-6.329081;-49.959790;
CC330_sorted;Dioclea_apurensis;Bocaina;-6.308676;-49.880068;
CC346_sorted;Dioclea_apurensis;Bocaina;-6.313463;-49.901616;
CC362_sorted;Dioclea_apurensis;Bocaina;-6.328129;-49.935575;
CC249_sorted;Dioclea_apurensis;S11C;-6.402031;-50.359594;
CC265_sorted;Dioclea_apurensis;S11C;-6.399658;-50.341243;
CC278_sorted;Dioclea_apurensis;N1;-6.010424;-50.293424;
CC286_sorted;Dioclea_apurensis;N1;-6.013299;-50.310722;
CC300_sorted;Dioclea_apurensis;Bocaina;-6.330580;-49.975607;
CC316_sorted;Dioclea_apurensis;Bocaina;-6.329198;-49.959370;
CC332_sorted;Dioclea_apurensis;Bocaina;-6.309334;-49.882497;
CC348_sorted;Dioclea_apurensis;Bocaina;-6.314262;-49.903037;
